GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FullyFeaturedBankingApp,com.nate.ui,InputHandler,13,54,0,0,5,14,1,5,1,5
FullyFeaturedBankingApp,com.nate.ui,Processing,3,16,0,2,1,5,1,2,1,1
FullyFeaturedBankingApp,com.nate.ui,SystemMessage,34,10,0,0,16,3,3,1,3,1
FullyFeaturedBankingApp,com.nate.ui,MenuRenderer,24,0,0,0,8,0,3,0,3,0
FullyFeaturedBankingApp,com.nate.ui,Start,114,407,10,29,21,136,9,32,1,15
FullyFeaturedBankingApp,com.nate.model,Transaction,24,67,2,2,2,20,3,8,1,8
FullyFeaturedBankingApp,com.nate.model,Account,11,154,4,6,2,29,4,11,0,10
FullyFeaturedBankingApp,com.nate.model,TransactionType,5,37,1,3,1,6,1,4,0,2
FullyFeaturedBankingApp,com.nate.model,User,36,62,4,0,6,15,6,8,4,8
FullyFeaturedBankingApp,com.nate.model,AccountType,12,35,3,2,3,5,3,3,0,2
FullyFeaturedBankingApp,com.nate.database,AccountDao,130,498,9,17,38,143,9,14,0,10
FullyFeaturedBankingApp,com.nate.database,UserRepo,33,66,2,4,10,20,2,3,0,2
FullyFeaturedBankingApp,com.nate.database,Configuration,3,3,0,0,1,1,1,1,1,1
FullyFeaturedBankingApp,com.nate.database,TransactionDao,7,111,1,3,4,30,1,4,0,3
FullyFeaturedBankingApp,com.nate.database,UserDao,0,101,2,4,0,28,2,5,0,4
FullyFeaturedBankingApp,com.nate.database,DBFunction,34,101,2,2,10,28,3,3,1,3
FullyFeaturedBankingApp,com.nate.app,BankingApp,21,0,0,0,11,0,3,0,3,0
FullyFeaturedBankingApp,com.nate.app,Bootstrap,110,0,0,0,19,0,2,0,2,0
FullyFeaturedBankingApp,com.nate.exception,TransferToSameAccountException,0,4,0,0,0,2,0,1,0,1
FullyFeaturedBankingApp,com.nate.exception,UnauthorizedAccessException,0,5,0,0,0,2,0,1,0,1
FullyFeaturedBankingApp,com.nate.exception,FailedToTransferFundsException,4,0,0,0,2,0,1,0,1,0
FullyFeaturedBankingApp,com.nate.exception,DeletingWithFundsException,0,6,0,0,0,2,0,1,0,1
FullyFeaturedBankingApp,com.nate.exception,AccountNotFoundException,0,5,0,0,0,2,0,1,0,1
FullyFeaturedBankingApp,com.nate.exception,UserNotLoggedInException,0,4,0,0,0,2,0,1,0,1
FullyFeaturedBankingApp,com.nate.exception,InvalidTransactionAmount,0,5,0,0,0,2,0,1,0,1
FullyFeaturedBankingApp,com.nate.exception,NoAccountException,0,4,0,0,0,2,0,1,0,1
FullyFeaturedBankingApp,com.nate.exception,InsufficientFunds,0,6,0,0,0,2,0,1,0,1
FullyFeaturedBankingApp,com.nate.exception,InvalidTransferAmountFrom,0,7,0,0,0,2,0,1,0,1
FullyFeaturedBankingApp,com.nate.util,DateTimeFormat,10,0,0,0,3,0,2,0,2,0
FullyFeaturedBankingApp,com.nate.util,NoAccountPresent,0,19,0,2,0,7,0,3,0,2
FullyFeaturedBankingApp,com.nate.util,LocalDateTimeAdapter,18,0,0,0,4,0,4,0,4,0
FullyFeaturedBankingApp,com.nate.util,AutoIdGenerator,3,30,0,2,1,6,1,2,1,1
FullyFeaturedBankingApp,com.nate.util,PromptMessage,48,89,9,9,21,27,9,6,0,6
FullyFeaturedBankingApp,com.nate.util,OwnershipValidation,0,22,0,0,0,6,0,3,0,3
FullyFeaturedBankingApp,com.nate.util,Animate,21,0,2,0,7,0,3,0,2,0
FullyFeaturedBankingApp,com.nate.util,FindAccount,0,32,0,0,0,8,0,4,0,4
FullyFeaturedBankingApp,com.nate.util,ScannerError,12,17,1,1,3,6,1,2,0,2
FullyFeaturedBankingApp,com.nate.util,PasswordUtil,6,78,0,2,2,16,0,6,0,5
FullyFeaturedBankingApp,com.nate.util,ExceptionHandler,9,0,0,0,4,0,2,0,2,0
FullyFeaturedBankingApp,com.nate.util,NegOrZeroCheck,3,16,0,4,1,2,1,4,1,2
FullyFeaturedBankingApp,com.nate.util,CurrencyFormatter,7,7,1,1,2,2,2,1,1,1
FullyFeaturedBankingApp,com.nate.service,UserService,0,157,0,28,0,36,0,18,0,4
FullyFeaturedBankingApp,com.nate.service,BankingService,0,118,0,12,0,28,0,9,0,3
FullyFeaturedBankingApp,com.nate.service,AccountService,89,315,14,36,20,77,13,21,2,7
FullyFeaturedBankingApp,com.nate.service,SessionService,29,0,4,0,9,0,7,0,5,0
